mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.15212173461914064,0.018874411294067195,0.01848154067993164,0.003911041734905173,0.001,1,1,40,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 1, 'n_estimators': 40}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.18713102340698243,0.01665158451110921,0.014261150360107422,0.0019542056440840284,0.001,1,1,60,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 1, 'n_estimators': 60}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.23642783164978026,0.022933422687675745,0.014200258255004882,0.0019291465409683015,0.001,1,1,80,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 1, 'n_estimators': 80}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.11672005653381348,0.0067619009367860805,0.013232135772705078,0.001908346014318219,0.001,1,2,40,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 2, 'n_estimators': 40}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.17231993675231932,0.011830111180612755,0.013404417037963866,0.0022643027729075563,0.001,1,2,60,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 2, 'n_estimators': 60}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.23961610794067384,0.005706677776834613,0.01657876968383789,0.001137461120085307,0.001,1,2,80,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 2, 'n_estimators': 80}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.13188514709472657,0.014599273796775175,0.015239572525024414,0.0014818294104114163,0.001,1,3,40,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 40}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.18500442504882814,0.003523312482121661,0.016274261474609374,0.0006128985637658705,0.001,1,3,60,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 60}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.24208555221557618,0.004545542090773159,0.015859317779541016,0.000996205315100974,0.001,1,3,80,"{'learning_rate': 0.001, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 80}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.177643346786499,0.005871373654872428,0.01636662483215332,0.0009275276596297658,0.001,2,1,40,"{'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 40}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.23512639999389648,0.02780087938330049,0.014884567260742188,0.002871528382041945,0.001,2,1,60,"{'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 60}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.3054767608642578,0.009884539134444417,0.01569671630859375,0.0008669676315748755,0.001,2,1,80,"{'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 80}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.16150369644165039,0.005673890824735659,0.014506244659423828,0.0009016584874407356,0.001,2,2,40,"{'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 2, 'n_estimators': 40}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.23765788078308106,0.00613832350887718,0.015889549255371095,0.0008942175119874197,0.001,2,2,60,"{'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 2, 'n_estimators': 60}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.3027307987213135,0.012399467764129528,0.014779090881347656,0.002864552089495403,0.001,2,2,80,"{'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 2, 'n_estimators': 80}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.16851792335510254,0.003360676259282107,0.01617116928100586,0.0015102812312853657,0.001,2,3,40,"{'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 40}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.22984800338745118,0.004688140019872621,0.015187931060791016,0.001292775919780618,0.001,2,3,60,"{'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 60}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.30485687255859373,0.032348815447012284,0.013656520843505859,0.002416938260499141,0.001,2,3,80,"{'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 80}",-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
